AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-775,15:57:35.25,26:52:40.4,41,V,4.14,0.013,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-775,15:57:35.25,26:52:40.4,41,B,5.371,0.023,BINO_COMP. eps CrB - ORG - Amplitude 0.007 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,V,7.886,0.032,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,B,8.327,0.0654,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BPX-082,15:58:34.91,26:32:35.0,81,V,8.133,0.032,BINO_COMP.
000-BPX-082,15:58:34.91,26:32:35.0,81,B,9.175,0.0662,BINO_COMP.
000-BBW-888,16:01:28.59,26:24:16.5,84,V,8.361,0.021,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,B,8.861,0.0524,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-787,15:57:54.56,25:45:29.9,93,V,9.307,0.036,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,B,10.744,0.0761,NSV 7370 - CST.
000-BBW-796,15:58:28.42,25:56:30.9,98,V,9.809,0.023,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,B,10.843,0.0419,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-779,15:57:40.02,26:06:18.8,102,V,10.167,0.01,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,B,10.753,0.05,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BJS-901,15:59:26.42,26:08:47.1,106,V,10.554,0.023,
000-BJS-901,15:59:26.42,26:08:47.1,106,B,11.096,0.055,
000-BBW-782,15:57:51.04,26:15:51.2,107,V,10.736,0.024,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,B,11.328,0.0591,GSC 02037-01130 - CST.
000-BMH-419,16:03:43.45,26:13:10.8,111,V,11.143,0.054,
000-BMH-419,16:03:43.45,26:13:10.8,111,B,12.445,0.1128,
000-BBW-805,15:58:51.22,25:50:05.0,112,V,11.166,0.019,
000-BBW-805,15:58:51.22,25:50:05.0,112,B,11.779,0.0338,
000-BPC-198,15:59:34.20,25:44:17.3,124,V,12.366,0.014,
000-BPC-198,15:59:34.20,25:44:17.3,124,B,13.079,0.034,
000-BMH-420,16:03:25.09,26:10:45.2,125,V,12.506,0.031,
000-BMH-420,16:03:25.09,26:10:45.2,125,B,13.412,0.0649,
000-BMH-421,16:03:15.82,26:16:38.5,129,V,12.933,0.022,
000-BMH-421,16:03:15.82,26:16:38.5,129,B,13.833,0.2131,
000-BMH-422,16:03:32.05,26:14:11.2,133,V,13.257,0.044,
000-BMH-422,16:03:32.05,26:14:11.2,133,B,14.118,0.0896,
000-BPC-228,15:59:12.10,25:48:16.3,135,V,13.477,0.066,
000-BPC-228,15:59:12.10,25:48:16.3,135,B,14.548,0.1165,
000-BPC-218,15:59:41.28,25:53:35.4,138,V,13.791,0.061,
000-BPC-218,15:59:41.28,25:53:35.4,138,B,14.765,0.1104,
000-BPC-229,15:59:28.42,25:52:11.3,143,V,14.342,0.056,
000-BPC-229,15:59:28.42,25:52:11.3,143,B,15.295,0.1094,
